"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"HALLMARK_ADIPOGENESIS",0.357142857142857,0.576036866359447,0.115734447701689,-0.211009305019881,-1.02979177440178,198,"hallmark","Dnajb9; Adipoq; Lep; Ppp1r15b; Mgll; Slc1a5; Por; Lipe; Sncg; Elmod3; Araf; Slc27a1; Fabp4; Retn; Acox1; Pdcd4; Cavin2; Reep5; Dgat1; Adig; Orm1; Ccng2; Lama4; Pfkfb3; Atl2; Esyt1; Chuk; C3; Enpp2; Tob1; Cox8a; Adcy6; Phldb1; Pparg; Reep6; Ptger3; Cd302; Bckdha","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ALLOGRAFT_REJECTION",0.476439790575916,0.660171189218722,0.096887770327544,-0.208992489155119,-0.990194848285137,171,"hallmark","Ccl11; Cd3g; Il6; Flna; Brca1; Eif3a; Elf4; Tnf; Ache; Lck; Icam1; Ccr1; Lif; Nlrp3; Hif1a; H2-Q10; Irf8; Eif4g3; Il11; Cd1d1; Dyrk3; Prkcg; Cd8a; F2; Npm1; Mmp9; Il27ra; Cd2; Tlr3; F2r; Cxcr3; Eif3j1; H2-DMa; Icosl; Eif3d; Il15; Abi1; Cartpt; Ccr2; Ikbkb; Was; Gpr65; Il2ra","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ANDROGEN_RESPONSE",0.575389948006932,0.72234762979684,0.0647943366000727,0.221767817045181,0.941835490343464,98,"hallmark","Acsl3; Arid5b; Herc3; Cenpn; Fkbp5; Rrp12; Mak; Camkk2; Map7; Ell2; Sms; Ube2j1; Idi1; Tmprss2; Pdlim5; Hpgd; Zmiz1; Hmgcs1; Scd2; Srf; Lifr; Slc38a2; Ncoa4; B4galt1; Klk1; Fads1; Dhcr24","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ANGIOGENESIS",0.995454545454545,0.995454545454545,0.0517405459873163,-0.164208849432535,-0.575410403827084,33,"hallmark","Jag1; Stc1; Slco2a1; Olr1; Fgfr1; Thbd; Vegfa; Apoh","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APICAL_JUNCTION",0.0537793198604997,0.179264399534999,0.321775918075361,-0.253921480572831,-1.23421590026163,191,"hallmark","Tspan4; Adam15; Itga9; Cdsn; Amigo2; Sirpa; Msn; Pals1; Cadm3; Nlgn3; Ctnna1; Lima1; Sorbs3; Cldn5; Cldn15; Vwf; Actg2; Syk; Icam1; Actn4; Mapk11; Mpzl2; Ldlrap1; Vcam1; Epb41l2; Actn1; Ywhah; Myh9; Cnn2; Col9a1; Cdh4; Pik3r3; Mmp9; Amh; Cd209b; Nrap","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APICAL_SURFACE",0.577878103837472,0.72234762979684,0.0778840111977068,-0.250705426058595,-0.932179241919718,42,"hallmark","Plaur; Brca1; Atp8b1; Rtn4rl1; Sulf2; Efna5; Dcbld2; Akap7; Ephb4; Tmem8b; Pcsk9; Ghrl; Flot2","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APOPTOSIS",0.0664961636828645,0.195576952008425,0.282013350011725,-0.272320804008432,-1.27542427767346,154,"hallmark","Ier3; Mcl1; Cth; Dnaja1; Nedd9; Egr3; Sat1; Il6; Brca1; Tnf; Slc20a1; Sqstm1; Cdkn1b; Pdcd4; Fdxr; Wee1; Cflar; Plcb2; Gstm2; F2; Bnip3l; Txnip; Casp8; Cd2; Rock1; Rhot2; Dpyd; Ccnd1; F2r; Bmp2; Ctnnb1; Gsn; Jun","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_BILE_ACID_METABOLISM",0.0195371069359776,0.100258535071233,0.352487857583619,-0.308464933170322,-1.38535540057387,109,"hallmark","Lipe; Aldh9a1; Abca5; Hsd3b7; Nedd4; Fdxr; Lck; Bcar3; Ttr; Aqp9; Abca8b; Ch25h; Idh2; Dio1; Mlycd; Efhc1; Nr1h4; Nr0b2; Pex11g; Pex13; Hacl1; Npc1; Aldh8a1; Abca9; Pfkm; Cyp39a1; Slc23a2; Isoc1; Acsl5; Lonp2; Aldh1a7; Serpina6; Abca1; Apoa1; Cat; Slc27a5; Cyp8b1; Hsd3b3; Gc; Cyp46a1; Pecr; Abcg8","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.310592459605027,0.535504240698322,0.0999276973731092,0.266041642025627,1.07038678967725,74,"hallmark","Nfil3; Actg1; Ldlr; Srebf2; Sqle; Cyp51; Pdk3; Idi1; Lgmn; Dhcr7; Nsdhl; Anxa5; Hmgcs1; Scd2; Cpeb2; Trib3; Lgals3; Tnfrsf12a; Fads2; Avpr1a","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_COAGULATION",0.0448403333733645,0.172462820666787,0.321775918075361,-0.284246660493798,-1.30925170092631,132,"hallmark","Serpine1; Rapgef3; Hpn; Arf4; Klf7; Vwf; F8; Ctsl; Gnb2; F3; Lamp2; Cfd; Mmp11; F12; Csrp1; Masp2; F2; Mmp9; Mst1; Hmgcs2; C3; Trf; Olr1; Serpinc1; C1s1; Itgb3; Gsn; C8a; Cfi; Apoc1; Fga; Cd9; Apoc3; Apoa1; Thbd; Fgg; Plg; Plau; Klk8; Serpina1b; Casp9; Tfpi2; Adam9; Serpina1e; Proz; F10; Rac1; Tmprss6; F13b; Rgn","gastrocnemius","RR-1","GLDS-101","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
