"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"HALLMARK_ADIPOGENESIS",6.97768760114615e-08,1.74442190028654e-06,0.704975715167238,-0.44012683315317,-1.99720182797833,194,"hallmark","Elovl6; Acly; Me1; Tkt; Dhcr7; Itih5; Qdpr; Lpcat3; Samm50; Slc25a1; Cyc1; Taldo1; Vegfb; Prdx3; Gpam; Dhrs7; Mrap; Cs; Pparg; Mdh2; Uqcr10; Cd151; Uck1; Gbe1; Slc1a5; Lifr; Ak2; Uqcrc1; Orm1; Dlat; Rab34; Ephx2; Uqcr11; Esrra; Sdhb; Tst; Ndufs3; Dhrs7b; Cyp4b1; Aco2; Lpl; Slc19a1; Miga2; Reep5; Ucp2; Rmdn3; Cox6a1; Lipe; Ndufa5; Ifngr1; Aifm1; Acox1; Pemt; Cox7b; Aldh2; Bcl6; Pdcd4; Gpd2; Ubc; Idh1; Suclg1; Adipor2; Adcy6; Acaa2; Tob1; Ndufab1; Uqcrq; Sowahc; Slc25a10; Fabp4; Mccc1; Stom; Ptcd3; Dgat1; Idh3a","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_ALLOGRAFT_REJECTION",0.312796208530806,0.392,0.0919686140000427,-0.23697586747976,-1.06255196814584,164,"hallmark","H2-Q10; C2; Cd4; Irf7; F2r; Egfr; Tapbp; Eif5a; Lyn; Il27ra; Csk; Nme1; Was; Rpl39; Tap2; Ccnd3; Igsf6; Ube2n; Rps9; Hcls1; Tlr3; Cfp; H2-DMb1; Ifngr1; Gzma; Psmb10; Rps3a1; H2-DMa; H2-T23; Ncf4; Tap1; Icosl","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_ANDROGEN_RESPONSE",0.133012820512821,0.255793885601578,0.152144922367565,-0.30120947411806,-1.2377675179252,95,"hallmark","Fads1; Scd1; Elovl5; Dbi; Tsc22d1; Itgav; Krt8; Rab4a; Klk1b4; Tmem50a; Lifr; Ptk2b; Scd2; Ccnd3; Homer2; Xrcc5; Insig1; Ccnd1; Sms","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_ANGIOGENESIS",0.119929453262787,0.239858906525573,0.169570644405628,-0.408091691068617,-1.33379545383426,30,"hallmark","Itgav; Lrpap1; Col5a2; Spp1; Postn; Col3a1; Lpl; Serpina5; Pdgfa; Fstl1; Jag1; Kcnj8","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_APICAL_JUNCTION",0.110584518167457,0.230384412848868,0.166933848713193,-0.272684713176936,-1.22003713509716,161,"hallmark","Cdh1; Lama3; Thbs3; Inppl1; Grb7; Sgce; Gamt; Crb3; Tgfbi; Nectin2; Baiap2; Egfr; Taok2; Mdk; Adam15; Nectin1; Pfn1; Adra1b; Insig1; Exoc4; Nectin4; Myl12b; Mpzl2; Adamts5; Src; Zyx; Arpc2; Gnai1; Vasp; Actn1; Pbx2; Cdh6; Nfasc; Hras; Itgb4; Tspan4; Stx4a; Ywhah; Rac2; Amigo2; Cadm3","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_APICAL_SURFACE",0.65034965034965,0.722610722610723,0.0734381410838857,0.253484643662797,0.89706707507013,38,"hallmark","Sulf2; Il2rb; B4galt1; Ncoa6; Flot2","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_APOPTOSIS",0.0699523052464229,0.152070228796571,0.213927855492356,-0.292030504963751,-1.28815460361291,149,"hallmark","Sc5d; Casp3; Ifitm3; Clu; Gsn; Fdxr; Cdk2; Wee1; F2r; Bgn; Tnfsf10; Birc3; Sptan1; Bcl2l1; Nedd9; Top2a; Casp9; Bnip3l; Igfbp6; Psen2; Hspb1; Tspo; Rara; Cav1; Ccnd1; Emp1; Bik; Satb1; Bax; Ifngr1; Mcl1; Vdac2; Pdcd4; Lgals3; Pdgfrb; Tap1; Casp7; Erbb2; Pea15a; Rhob; Erbb3; Sat1; Btg3; Bid; Xiap; Atf3; Irf1; Hmgb2; Btg2; Casp1","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_BILE_ACID_METABOLISM",0.0153475087604347,0.0426319687789852,0.380730400722792,-0.354250178558911,-1.47741181827353,105,"hallmark","Fads2; Fads1; Dio1; Acsl5; Rbp1; Cyp27a1; Cyp7b1; Paox; Slc23a1; Serpina6; Slc29a1; Fdxr; Abcd3; Hao1; Slc35b2; Ephx2; Aldh1a7; Npc1; Amacr; Apoa1","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",7.40813178778521e-07,1.23468863129753e-05,0.659444398037935,-0.55406312705313,-2.18233140717971,75,"hallmark","Acss2; Fads2; Fabp5; Fasn; Pmvk; Scd1; Sc5d; Dhcr7; Fdps; Gusb; Pcyt2; Clu; Cd9; Tm7sf2; S100a11; Pparg; Anxa5; Tmem97; Lss; Lpl; Scd2; Anxa13; Ldlr; Nsdhl; Fbxo6; Aldoc; Gstm7; Lgals3; Hmgcr; Gnai1","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
"HALLMARK_COAGULATION",0.0141972706694388,0.0417566784395258,0.380730400722792,-0.342116564254057,-1.46574554634384,125,"hallmark","Serpina1e; C9; Cpb2; Clu; Cd9; Rgn; C8b; Htra1; Gsn; C2; Mmp15; Masp2; C8g; Casp9; Serpinc1; Apoa1; Thbs1; C1s1; Msrb2; C1qa; Pros1; F11; Sparc; C8a; Ctsl; Cfd; Usp11; Tfpi2; Serpine1; Proc; Mmp11; Klk8; Serping1; F3; Cpn1; Hpn; Apoc2; F12","liver","MHU-2","GLDS-617","Stat_(Space Flight & uG)v(Ground Control & 1G on Earth)",1,"flight_positive"
