"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"HALLMARK_ADIPOGENESIS",0.160899653979239,0.304400241109102,0.142901149386948,-0.258363331599762,-1.15134322060818,197,"hallmark","Mrap; Col15a1; Dhcr7; Idh1; Cs; Ccng2; G3bp2; Me1; Orm1; Taldo1; Mtch2; Bcl6; Ptger3; Elovl6; Ubqln1; Nmt1; Arl4a; Sowahc; Ywhag; Idh3a; Abcb8; Retn; Acly; Cidea; Gpd2; Uck1; Col4a1; Map4k3; Stat5a; Ndufab1; Aplp2; Reep5; Adipoq; Uqcrq; Ucp2; Fabp4; Tank; Dhrs7b; Dnajc15; Cavin2; Ndufb7; Gpx3; Mccc1; Slc25a1; Ltc4s; Tst; Gpam; Tkt; Uqcr11; Rmdn3; Ndufa5","liver","RR-1","GLDS-48"
"HALLMARK_ALLOGRAFT_REJECTION",0.937391304347826,0.94061757719715,0.0422468188360053,-0.177920837689362,-0.790333919482758,192,"hallmark","Stat1; Eif4g3; Irf7; Bcl3; B2m; Inhba; Abce1; Cxcl13; Tlr3; Igsf6; Wars1; Eif3j2; Elane; Il10; Il7; Ly86; Gzmb; Cd86; Cfp; Tlr6; Traf2; Egfr; Tapbp; Cxcl9; Gpr65; Irf4; Eif3a; Lck; Lyn; Ube2n; Psmb10; Il2ra; Nlrp3; Dyrk3; Fas; Spi1; Ctss","liver","RR-1","GLDS-48"
"HALLMARK_ANDROGEN_RESPONSE",0.0241610246659337,0.092927017945899,0.352487857583619,-0.348544335283038,-1.42257359813478,101,"hallmark","Ndrg1; Tsc22d1; Gsr; Hmgcs1; B2m; Rab4a; Adrm1; Srp19; Iqgap2; Elovl5; Idi1; Inpp4b; Krt8; Lman1; Ank; Sec24d; Spcs3; Map7; Camkk2; Pgm3; Appbp2; Krt19; Itgav; Pmepa1; Gnai3; Klk1b4; Uap1; Vapa; Mak; Ell2; Slc38a2; Ngly1","liver","RR-1","GLDS-48"
"HALLMARK_ANGIOGENESIS",0.76545842217484,0.797352523098792,0.0610363728309177,0.244114593438067,0.823413249677856,34,"hallmark","Col5a2; Vegfa; Jag2; Stc1; Vav2; Vcan; Nrp1; Kcnj8; Jag1; App; Apoh","liver","RR-1","GLDS-48"
"HALLMARK_APICAL_JUNCTION",0.311904761904762,0.433201058201058,0.11776578836269,0.231380673886752,1.05286588535361,187,"hallmark","Zyx; Actg1; Map4k2; Sorbs3; Lamb3; Pkd1; Grb7; Tial1; Lima1; Amigo1; Col16a1; Mmp9; Irs1; Traf1; Amigo2; Cldn5; Lamc2; Cadm3; Akt2; Wnk4; B4galt1; Itga10; Ldlrap1; Cdh6; Fscn1; Adam9; Vav2; Cdk8; Jup; Nf2; Mapk14; Skap2; Tgfbi; Crat; Vcan; Tjp1; Mapk11; Vasp; Pcdh1; Nlgn3; Nlgn2; Cldn7; Slc30a3; Cldn8; Tspan4; Pbx2","liver","RR-1","GLDS-48"
"HALLMARK_APICAL_SURFACE",0.241900647948164,0.355736246982594,0.128788713061714,0.327272074083609,1.14021229532341,41,"hallmark","Gas1; Ephb4; Brca1; Akap7; Sulf2; Pkhd1; Ncoa6; B4galt1; Mal; Il2rb; Flot2; Pcsk9; Srpx; Crocc; App; Gata3; Efna5","liver","RR-1","GLDS-48"
"HALLMARK_APOPTOSIS",0.182640144665461,0.304400241109102,0.136490437780413,-0.263334079625242,-1.13709898817065,156,"hallmark","Cdkn1a; Gsr; Ifitm3; Psen2; Gstm2; Krt18; Avpr1a; Bax; Hspb1; Rock1; Isg20; Xiap; Dnm1l; Ptk2; Ctnnb1; Ank; Bcl2l1; Crebbp; Sqstm1; Dap; Jun; Top2a; Ebp; Dnajc3; Sc5d","liver","RR-1","GLDS-48"
"HALLMARK_BILE_ACID_METABOLISM",3.7749282501799e-05,0.000269637732155707,0.557332238758646,0.43637492925206,1.85199011265573,110,"hallmark","Hsd17b6; Abcd2; Klf1; Slc23a2; Pex19; Pex26; Optn; Cyp46a1; Idh2; Abcg8; Gnmt; Mlycd; Npc1; Pex6; Nr3c2; Pex16; Amacr; Lipe; Slc27a2; Dhcr24; Scp2; Gnpat; Fads2; Bbox1; Abca6; Pex7; Acsl1; Retsat; Soat2; Abca4; Aqp9; Atxn1; Rxra; Hsd17b11; Fads1; Pex11a; Sult1b1; Serpina6; Hacl1; Pxmp2; Tfcp2l1; Slc35b2; Agxt","liver","RR-1","GLDS-48"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",8.48823371260904e-08,1.06102921407613e-06,0.704975715167238,-0.589244551683382,-2.3192097491213,75,"hallmark","Fabp5; Nfil3; Pnrc1; Chka; Fbxo6; Dhcr7; Acss2; Fasn; Hmgcs1; Cpeb2; Abca2; Trp53inp1; Avpr1a; Sqle; Nsdhl; Fdps; Mal2; Cyp51; Atf5; Cd9; Idi1; Mvk; Ctnnb1; Gldc; Ethe1; Pmvk; Ebp; Sc5d","liver","RR-1","GLDS-48"
"HALLMARK_COAGULATION",0.0613718411552347,0.170477336542318,0.245041785430996,-0.297704704074286,-1.27490008560429,135,"hallmark","Capn2; Tfpi2; C8a; C9; Ctse; Cfd; F11; Cd9; Gda; Msrb2; Dusp14; Crip2; C8b; Lta4h; Mmp8; Rabif; Acox2; Bmp1; Klf7; Apoc3; C1qa; F9; Cpb2; Serpina1e; Cfh; Gnb2; Wdr1; Pdgfb; Serping1; Comp; Rgn; Iscu; Apoa1; Fn1; Pef1; Arf4; Apoc1; Gp9; C8g","liver","RR-1","GLDS-48"
