"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.000729280833775498,0.00230546844225803,0.477270815362862,-0.417303627369396,-1.67406276363689,86,"reactome","Abcc5; Ubb; Psmd8; Psmc1; Abcb9; Uba52; Sel1l; Psmb7; Psmd13; Psmb1; Psma1; Eif2s3x; Psmb5; Eif2s1; Psmd6; Psmc3; Vcp; Psmd11; Abcd1; Psmb4; Psmb3; Derl2; Psmb6; Psma7; Psmc6; Psmc4; Psmc2; Psma2; Rnf185; Psmd3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.181640625,0.275012069873595,0.142901149386948,0.441329389075722,1.25209496168316,17,"reactome","Abcd2; Abcg1; Pex3; Abcd3; Abca2; Abcg5; Apoa1; Abca5; Abca9","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.00457273373319448,0.011653444360245,0.407017918923954,-0.420921893696353,-1.59965690176714,64,"reactome","Ubb; Psmd8; Psmc1; Uba52; Sel1l; Psmb7; Psmd13; Psmb1; Psma1; Psmb5; Psmd6; Psmc3; Vcp; Psmd11; Abcd1; Psmb4; Psmb3; Derl2; Psmb6; Psma7; Psmc6; Psmc4; Psmc2; Psma2; Rnf185; Psmd3; Derl1; Rnf5; Rps27a; Abcb11","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.00113241902533632,0.00333537625495234,0.45505986738723,-0.639454665749993,-1.90233044493506,20,"reactome","Anapc5; Anapc1; Skp2; Anapc7; Cdc27; Rb1; Ube2c; Fzr1; Ube2e1; Anapc4; Cdc16","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0282421720057894,0.057901751247159,0.352487857583619,-0.554628278788696,-1.5523984289444,17,"reactome","E2f2; Cdk2; Cdkn1b; Cdk4; Tfdp1; Ccne2; Rb1; E2f1; Ccne1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.00289877426737615,0.00769674546855046,0.431707695803346,-0.568283863879671,-1.74646669095667,23,"reactome","Polr2c; Ncbp1; Nelfa; Ctdp1; Gtf2f2; Nelfcd; Polr2a; Supt4a; Polr2d; Polr2b; Supt5; Polr2f; Nelfb","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.38030888030888,0.476712759270899,0.0922597260527354,0.315389561366328,1.05865996004858,31,"reactome","Dtx1; Jag2; Arrb2; Psen2; Ubc; Jag1; Dtx4; Numb","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",4.56584669710344e-19,9.84396547895502e-18,1.12391496374483,-0.789685519298026,-2.95192151160577,57,"reactome","H2ac13; H3f3a; H2ac10; H3c10; H2bc18; H2ac4; H3c7; H3c2; H3c11; H3c8; H2bc4; H4c4; H3c15; H3c1; H4c6; H3c4; H2bc21; H2ac19; H2ac20; H4c16; H4c1; H3c3; H2bc8; H4c14; H4c12; H4c2; H4c3; H2ax; H2bc3; H4c17; H2bc7; Kdm4c; H4c11; H2bc14; H2bc6; H2ac18; H4c18; H4c8","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.466933867735471,0.553745554916213,0.0828962134571565,-0.323863247054627,-0.995306059799972,23,"reactome","Ubb; Traf6; Uba52; Tab1; Ikbkg; Map3k7; Ripk2; Map2k6; Tab2; Rps27a; Mapk14","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",1.98043107413791e-06,1.08370796848765e-05,0.627256739718528,-0.76100678593826,-2.26393903310501,20,"reactome","Tuba1b; Tubb4b; Tubb2a; Tubb2b; Tuba1c; Tuba1a; Calm1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
