pathway,pval,padj,log2err,ES,NES,size,db,leadingEdge_str,tissue,mission,glds
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,3.25637190825291e-09,4.14780371813714e-07,0.774939030136436,-0.580126640379525,-2.38091053551405,82,reactome,Sel1l; Abcd2; Vcp; Psmd11; Psmd1; Psmd3; Derl3; Psmd2; Psmc4; Ubb; Adrm1; Psmc1; Psmc2; Abcd1; Abcg8; Psmc5; Abca2; Psmd7; Abcc3; Psmd14; Psmd12; Eif2s3x; Psma1; Abcc4; Psma7; Psmc6; Abca6; Psma5; Psmd6; Abca5; Psmc3; Psmb4; Abcg5; Abca8b,liver,MHU-2,GLDS-617
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.0333048267028769,0.150166453142618,0.321775918075361,-0.565580062990334,-1.56666545371496,15,reactome,Abcd2; Abcd1; Abcg8; Abca2; Abca6; Abca5; Abcg5,liver,MHU-2,GLDS-617
REACTOME_ABC_TRANSPORTER_DISORDERS,2.11116557889503e-08,1.26545748523179e-06,0.73376198835648,-0.613020447790922,-2.41455667804133,61,reactome,Sel1l; Vcp; Psmd11; Psmd1; Psmd3; Derl3; Psmd2; Psmc4; Ubb; Adrm1; Psmc1; Psmc2; Abcd1; Abcg8; Psmc5; Psmd7; Psmd14; Psmd12; Psma1; Psma7; Psmc6; Psma5; Abca1; Psmd6; Psmc3; Psmb4; Abcg5; Abcb11; Psmb2; Psmd13; Psma6,liver,MHU-2,GLDS-617
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.943181818181818,1.0,0.0458620343117985,0.214640311701532,0.63072237322852,20,reactome,Ube2c; Anapc15; Cdc23; Skp2; Rb1; Anapc16,liver,MHU-2,GLDS-617
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.0817120622568093,0.284097245455559,0.219250346703755,0.495992759887752,1.38568816853827,17,reactome,Cdk2; Tfdp2; E2f2; Ccne1; Ccnd3; Ccnd1; E2f3; Cdk4; Rb1,liver,MHU-2,GLDS-617
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.996138996138996,1.0,0.0442407423477375,0.142030615779945,0.429158637985165,23,reactome,Polr2f; Polr2l; Polr2d; Nelfe; Polr2k; Polr2g; Nelfcd,liver,MHU-2,GLDS-617
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.775768535262206,0.9534885443413,0.0526973085708419,0.249069896771229,0.803881047140072,29,reactome,Aph1b; Psen2; Dtx4; Rps27a; Adam17; Ubc; Uba52; Jag1,liver,MHU-2,GLDS-617
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,0.863554757630162,0.981005906382536,0.0474483193656297,0.232396340507304,0.762754955712327,32,reactome,Klk1b4; H2bc21; H2az2; H3f3a; H2ac19; H3c4; H3f3b; H3c15; H2bc6; H2aj; H4c17; H2bc8,liver,MHU-2,GLDS-617
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.171487603305785,0.440165913774799,0.152144922367565,-0.409217349036878,-1.26255451396093,23,reactome,Ubb; Traf6; Irak2; Map3k7; Tab3; Ikbkg; Tab1; Tab2; Ube2v1; Mapkapk3,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.154166666666667,0.415597442680776,0.161978948883402,-0.445708254846182,-1.30506476736854,19,reactome,Tubb4b; Tuba4a; Tuba1c; Prkab2; Tubb2a; Camkk2; Tuba8,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.711583924349882,0.9276479529624,0.0696133438850965,-0.215390816967586,-0.883990200890631,82,reactome,Mafb; Jun; Yy1; Ncoa6; Pbx1; Paxip1; Rxra; Polr2i; Ncor1; Ep300; Hoxa2; H2ac18; Rarg; H4c16; Zfp335; Pias2; Cnot9; Ncoa3; Kdm6a; Polr2c; H2ax; H4c12; H3c1; Rbbp4,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,4.53207813904496e-05,0.0004893121353403,0.557332238758646,-0.506228843383575,-1.99737600463083,63,reactome,Psmd11; Psmd1; Psmd3; Psmd2; Psmc4; Ubb; Adrm1; Psmc1; Psmc2; Cdc27; Psmc5; Psmd7; Psmd14; Psmd12; Psma1; Psma7; Psmc6; Psma5; Anapc1; Psmd6; Anapc7; Psmc3; Psmb4; Psmb2; Bub3; Psmd13; Psma6; Cdc26,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.0029555168876265,0.0212089556936019,0.431707695803346,0.530418057393767,1.76258691889509,34,reactome,Rpa1; Mcm4; Cdk2; Cdc6; Mcm6; Mcm10; Clspn; Mcm3; Rpa3; Mcm5; Rfc2; Mcm8; Rad9b; Orc5,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.991561181434599,1.0,0.048505983646947,-0.181699256403195,-0.503309728542264,15,reactome,Ppp3r1; Akt3; Ywhab; Akt1; Sfn; Bcl2; Bad; Ywhaq; Akt2; Ywhae; Ywhag; Ywhaz; Ppp3cc; Bid; Ywhah,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.65036231884058,0.898518829719154,0.0610363728309177,0.277938530268828,0.887903154892132,28,reactome,Tfdp2; Bbc3; Trp53bp2; Ppp1r13b; Ywhah; Bid; Ppp3cc; Bmf; Ywhaz,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,1.92521333182222e-06,3.77267766370547e-05,0.627256739718528,0.645863526964252,2.2673019071346,43,reactome,Acacb; Elovl6; Fasn; Pmvk; Scd1; Sc5d; Dhcr7; Fdps; Acaca; Gpam; Tm7sf2; Ggps1; Lss; Srebf1; Scd2,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,0.632443531827515,0.890138064823534,0.0684714904492087,-0.302220436544592,-0.877299489348353,18,reactome,Ubb; Ly96; Tbk1; Ptpn11; Ticam2; Ticam1,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.299047619047619,0.594014666295368,0.105920292736253,0.378950974825693,1.12676904889252,21,reactome,Dlg4; Plcb1; Dlg3; Gng2; Gnb4; Gng10; Gng11; Plcb3; Gng5; Gngt2; Calm1,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.35408560311284,0.651704492859728,0.096887770327544,0.388622772735948,1.08572144949577,17,reactome,Klk1b4; Mmp15; Ctsl; Mmp11,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,9.59902295983441e-08,3.76207861387356e-06,0.704975715167238,-0.610896962091182,-2.32470904834265,54,reactome,Psmd11; Psmd1; Psmd3; Psmd2; Psmc4; Ubb; Adrm1; Psmc1; Psmc2; Psmc5; Psmd7; Psmd14; Psmd12; Psma1; Psma7; Psmc6; Cul1; Psma5; Psmd6; Map3k7; Psmc3; Psmb4; Psmb2; Psmd13; Psma6,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.638636363636364,0.896259720841141,0.0730744399126987,-0.226064049388787,-0.904490242966591,67,reactome,Tubb4b; Rasgrf2; Tuba4a; Tuba1c; Lin7a; Rps6ka2; Pdpk1; Arhgef7; Rps6ka3; Prkab2; Kras; Tubb2a,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_SMO,0.132038834951456,0.387745166615372,0.169570644405628,0.459627945595981,1.30933375222322,18,reactome,Ihh; Shh; Gas1; Evc; Smo,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.0223874793366946,0.110206963498028,0.352487857583619,0.405816071974504,1.51120936943001,58,reactome,Rps24; Eif4ebp1; Rpsa; Rps17; Rps12; Rps20; Rps27l; Rps7; Rps14; Rps9; Rps21; Eif3k; Rps16; Rps10; Rps15; Rps27a; Rps3a1; Rps6; Rps11; Rps29; Rps23; Rps4x; Pabpc1; Rps3; Rps15a; Rps26; Rps2; Rps18; Rps13; Rps28; Rps19; Rps25; Eif3h; Eif4e,liver,MHU-2,GLDS-617
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.0070235721099666,0.0432844320294526,0.407017918923954,0.53444356548216,1.75999519404498,31,reactome,Rpa1; Mcm4; Cdk2; Cdc6; Mcm6; Mcm10; Pole2; Gmnn; Mcm3; Rpa3; Mcm5; Pola2; Mcm8; Orc5; Pole; Dbf4; Mcm2,liver,MHU-2,GLDS-617
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.641711229946524,0.89698730221606,0.0609039347452418,0.253144531136193,0.896188607808681,44,reactome,Cdh1; Mov10; Amot; Nectin2; Ago4; Adam33; Nectin1; Nectin4; Pvr; Cdh2,liver,MHU-2,GLDS-617
REACTOME_ADIPOGENESIS,0.869488536155203,0.983361618581744,0.0463227785794633,0.196531850124863,0.79391657083186,99,reactome,Elovl3; Pparg; Med12; Usp46; Bmp7; Zfp467; Slc2a4; Cox7a1; Ppargc1b; Lpl; Srebf1; Ccnd3; Med28; Med21; Smad1; Tbl1xr1; Fabp4; Med29; Smarcd3; Mbd3,liver,MHU-2,GLDS-617
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0.141560798548094,0.402934228269576,0.157402899305283,0.383442741382723,1.26117855296448,33,reactome,Adcy1; Prkx; Gnaz; Gng2; Gnai1; Adcy6; Gnb4; Gng10; Gng11; Adcy7; Gng5; Prkaca; Gngt2; Adcy2; Prkacb; Gnai2; Prkar2b; Gngt1; Gnas; Prkar1b; Gng7; Gnb5,liver,MHU-2,GLDS-617
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.696969696969697,0.921248327025518,0.0598603117764473,0.285995286528912,0.840399570899423,20,reactome,Gng2; Src; Gnb4; Gng10; Gng11; Gng5; Gngt2; Gngt1; Pla2g4a; Gng7; Gnb5,liver,MHU-2,GLDS-617
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.325626204238921,0.623708838570415,0.101350743797099,0.401434440166508,1.11112633805147,16,reactome,Gng2; Gnai1; Gnb4; Gng10; Gng11; P2ry12; Gng5; Gngt2; Gnai2; Gngt1; Gng7; Gnb5,liver,MHU-2,GLDS-617
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.295019157088123,0.5920116194626,0.107140237276725,0.391555872636928,1.13347054422432,19,reactome,Gng2; Gnai1; Adcy6; Gnb4; Gng10; Gng11; Gng5; Cacna1d; Gngt2; Gnai2; Gngt1; Gng7; Gnb5,liver,MHU-2,GLDS-617
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,4.16013466895375e-15,4.2391772276638695e-12,0.996986217533181,0.52812388864427,2.40822470046244,215,reactome,Pklr; Me1; Pdk1; Cycs; Cyc1; Cox5a; Ndufa8; Cs; Ndufs1; Pdha1; Fh1; Cox7a2; Ldhb; Slc25a11; Mdh2; Uqcr10; Ndufs4; Ndufs5; Ndufc2; Sdhd; Uqcrc1; Dlat; Ndufaf5; Uqcr11; Ndufs8; Ndufa12; Smim20; Sdhb; Hscb; Cox7a1; Ndufaf4; Ndufb8; Sdha; Ndufs3; Cmc1; Pdhb; Vdac1; Uqcrh; Ndufa6; Got1; Pyurf; Ndufa11; Ndufv2; Aco2; Rmnd5a; Ndufa13; Ndufs7; Lyrm7; Ndufs6; Ogdh; Dlst; Trap1; Adhfe1; Atp5pb; Cox14; Ndufv1; Cox6c; Uqcrb; Cox5b; Uqcrc2; Ndufb3; Ndufa4; Pdk2; Ndufc1; Ucp2; Pet117; Cox7c; Nfs1; Cox6a1; Higd2a; Uqcrfs1; Ndufa5; Mdh1; Uqcc1; Cox7b; Rps27a; Gpt; Higd1a; Ubc; Ndufb6; Sdhaf4; Pm20d1; Suclg1; Ndufab1; Sirt3; Slc25a12; Uba52; Uqcrq; Cox6b1; Ndufb1; Ndufb2; Mrps36; Idh3a; Cox19; Pdk4,liver,MHU-2,GLDS-617
REACTOME_AGGREPHAGY,0.0798226164079823,0.279767065487544,0.237793834423688,-0.418980923968078,-1.40991851789339,33,reactome,Vcp; Tubb4b; Dync1h1; Tuba4a; Ubb; Tuba1c,liver,MHU-2,GLDS-617
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.840262582056893,0.97309262245515,0.0578529757032509,-0.207890105434851,-0.780084300944801,50,reactome,Atp6v1a; Wdr59; Atp6v0d2; Atp6v1b2; Rptor; Seh1l; Mios; Fnip1; Nprl2; Atp6v0d1,liver,MHU-2,GLDS-617
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.642857142857143,0.897358121330724,0.0646484568421928,0.293073230414135,0.879028037922089,22,reactome,Slc38a3; Slc1a5; Slc1a4; Slc7a5; Slc6a12; Slc43a1; Slc3a1; Slc7a2,liver,MHU-2,GLDS-617
REACTOME_AMYLOID_FIBER_FORMATION,0.0975609756097561,0.32277478618942,0.188204146308491,0.334736238495541,1.29911268288249,70,reactome,Nat8; Gsn; Tspan15; H2az1; Tgfbi; Aph1b; Sorl1; Apoa1; H2bc21; Mfge8; Cst3; Saa2; Saa1; Ube2l6; Rps27a; H3f3a; Ubc; Uba52; H2ac19; H3c4; Lyz2; H3f3b; Psenen; Snca; Apoe; H3c15; H2bc6,liver,MHU-2,GLDS-617
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.195852534562212,0.471919309412645,0.150169802128406,-0.274235049847693,-1.16279864557805,96,reactome,Mapre1; Tubb4b; Pafah1b1; Dync1h1; Tuba4a; Pcm1; Cep290; Tubb5; Cep63; Septin2; Cep135; Cep250; Cep162; Ttbk2; Tctn2; Cep192,liver,MHU-2,GLDS-617
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.596802841918295,0.87272855848258,0.0642140881844605,0.283327613724064,0.922035796508357,30,reactome,Blnk; Cd22; Ighm; Lyn; Cd79b,liver,MHU-2,GLDS-617
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.0955555555555556,0.319249544626594,0.216542836735348,-0.427276191755499,-1.37239235910178,28,reactome,Calr; Pdia3; Hspa5; Sec24d; Canx; Sec24c,liver,MHU-2,GLDS-617
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0014047823174855,0.0110113321655212,0.45505986738723,-0.385924414822436,-1.63637867260316,96,reactome,Calr; Pdia3; Psmd11; Psmd1; Psmd3; Cd36; Psmd2; Psmc4; Ubb; Adrm1; Psmc1; Psmc2; Psmc5; Psmd7; Mrc2; Psmd14; Fga; Psmd12; Psma1; Psma7; Psmc6; Ly96; Snap23; Psma5; Tlr6; Psmd6,liver,MHU-2,GLDS-617
