pathway,pval,padj,log2err,ES,NES,size,db,leadingEdge_str,tissue,mission,glds
HALLMARK_ADIPOGENESIS,6.37256734202498e-08,1.59314183550625e-06,0.704975715167238,0.44012683315317,1.97040965126593,194,hallmark,Elovl6; Acly; Me1; Tkt; Dhcr7; Itih5; Qdpr; Lpcat3; Samm50; Slc25a1; Cyc1; Taldo1; Vegfb; Prdx3; Gpam; Dhrs7; Mrap; Cs; Pparg; Mdh2; Uqcr10; Cd151; Uck1; Gbe1; Slc1a5; Lifr; Ak2; Uqcrc1; Orm1; Dlat; Rab34; Ephx2; Uqcr11; Esrra; Sdhb; Tst; Ndufs3; Dhrs7b; Cyp4b1; Aco2; Lpl; Slc19a1; Miga2; Reep5; Ucp2; Rmdn3; Cox6a1; Lipe; Ndufa5; Ifngr1; Aifm1; Acox1; Pemt; Cox7b; Aldh2; Bcl6; Pdcd4; Gpd2; Ubc; Idh1; Suclg1; Adipor2; Adcy6; Acaa2; Tob1; Ndufab1; Uqcrq; Sowahc; Slc25a10; Fabp4; Mccc1; Stom; Ptcd3; Dgat1; Idh3a,liver,MHU-2,GLDS-617
HALLMARK_ALLOGRAFT_REJECTION,0.397188049209139,0.496485061511424,0.0845557442441281,0.23697586747976,1.03201352300112,164,hallmark,H2-Q10; C2; Cd4; Irf7; F2r; Egfr; Tapbp; Eif5a; Lyn; Il27ra; Csk; Nme1; Was; Rpl39; Tap2; Ccnd3; Igsf6; Ube2n; Rps9; Hcls1; Tlr3; Cfp; H2-DMb1; Ifngr1; Gzma; Psmb10; Rps3a1; H2-DMa; H2-T23; Ncf4; Tap1; Icosl,liver,MHU-2,GLDS-617
HALLMARK_ANDROGEN_RESPONSE,0.180701754385965,0.347222222222222,0.135002033828631,0.30120947411806,1.20441514449076,95,hallmark,Fads1; Scd1; Elovl5; Dbi; Tsc22d1; Itgav; Krt8; Rab4a; Klk1b4; Tmem50a; Lifr; Ptk2b; Scd2; Ccnd3; Homer2; Xrcc5; Insig1; Ccnd1; Sms; Krt19; Myl12a; Hmgcr; Elk4; Actn1,liver,MHU-2,GLDS-617
HALLMARK_ANGIOGENESIS,0.128731343283582,0.268190298507463,0.16823816568964,0.408091691068617,1.30553969003476,30,hallmark,Itgav; Lrpap1; Col5a2; Spp1; Postn; Col3a1; Lpl; Serpina5; Pdgfa; Fstl1; Jag1; Kcnj8,liver,MHU-2,GLDS-617
HALLMARK_APICAL_JUNCTION,0.149305555555556,0.298611111111111,0.149207542435322,0.272684713176936,1.18883837917426,161,hallmark,Cdh1; Lama3; Thbs3; Inppl1; Grb7; Sgce; Gamt; Crb3; Tgfbi; Nectin2; Baiap2; Egfr; Taok2; Mdk; Adam15; Nectin1; Pfn1; Adra1b; Insig1; Exoc4; Nectin4; Myl12b; Mpzl2; Adamts5; Src; Zyx; Arpc2; Gnai1; Vasp; Actn1; Pbx2; Cdh6; Nfasc; Hras; Itgb4; Tspan4; Stx4a; Ywhah; Rac2; Amigo2; Cadm3,liver,MHU-2,GLDS-617
HALLMARK_APICAL_SURFACE,0.611973392461197,0.695424309614997,0.0739901439101341,-0.253484643662797,-0.899773003606193,38,hallmark,Sulf2; Il2rb; B4galt1; Ncoa6; Flot2,liver,MHU-2,GLDS-617
HALLMARK_APOPTOSIS,0.079447322970639,0.180562097660543,0.208955027549354,0.292030504963752,1.25916092608006,149,hallmark,Sc5d; Casp3; Ifitm3; Clu; Gsn; Fdxr; Cdk2; Wee1; F2r; Bgn; Tnfsf10; Birc3; Sptan1; Bcl2l1; Nedd9; Top2a; Casp9; Bnip3l; Igfbp6; Psen2; Hspb1; Tspo; Rara; Cav1; Ccnd1; Emp1; Bik; Satb1; Bax; Ifngr1; Mcl1; Vdac2; Pdcd4; Lgals3; Pdgfrb; Tap1; Casp7; Erbb2; Pea15a; Rhob; Erbb3; Sat1; Btg3; Bid; Xiap; Atf3; Irf1; Hmgb2; Btg2; Casp1,liver,MHU-2,GLDS-617
HALLMARK_BILE_ACID_METABOLISM,0.0120037576733581,0.0315888359825213,0.380730400722792,0.354250178558911,1.44566386637413,105,hallmark,Fads2; Fads1; Dio1; Acsl5; Rbp1; Cyp27a1; Cyp7b1; Paox; Slc23a1; Serpina6; Slc29a1; Fdxr; Abcd3; Hao1; Slc35b2; Ephx2; Aldh1a7; Npc1; Amacr; Apoa1,liver,MHU-2,GLDS-617
HALLMARK_CHOLESTEROL_HOMEOSTASIS,7.68582012517412e-07,1.28097002086235e-05,0.659444398037935,0.55406312705313,2.15714401860719,75,hallmark,Acss2; Fads2; Fabp5; Fasn; Pmvk; Scd1; Sc5d; Dhcr7; Fdps; Gusb; Pcyt2; Clu; Cd9; Tm7sf2; S100a11; Pparg; Anxa5; Tmem97; Lss; Lpl; Scd2; Anxa13; Ldlr; Nsdhl; Fbxo6; Aldoc; Gstm7; Lgals3; Hmgcr; Gnai1,liver,MHU-2,GLDS-617
HALLMARK_COAGULATION,0.0081075690993027,0.022794718291346,0.380730400722792,0.342116564254057,1.43305209141486,125,hallmark,Serpina1e; C9; Cpb2; Clu; Cd9; Rgn; C8b; Htra1; Gsn; C2; Mmp15; Masp2; C8g; Casp9; Serpinc1; Apoa1; Thbs1; C1s1; Msrb2; C1qa; Pros1; F11; Sparc; C8a; Ctsl; Cfd; Usp11; Tfpi2; Serpine1; Proc; Mmp11; Klk8; Serping1; F3; Cpn1; Hpn; Apoc2; F12,liver,MHU-2,GLDS-617
