"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.000614691460896159,0.00224916613232824,0.477270815362862,0.410246318187442,1.76932945296332,87,"reactome","Vcp; Psmd13; Psmd2; Psmd7; Derl1; Psmc4; Psma5; Psmc5; Psmd3; Psmc1; Psmb1; Sem1; Abcb8; Psmc2; Psma7; Psmb2; Abcf1; Rnf185; Psmc3; Psmb5; Abcb10; Uba52; Psmd8; Psmb3; Psmd14; Psma2; Psmd1; Psmb6; Eif2s2; Adrm1; Os9; Psmb7; Rps27a; Abcg4; Psmb4; Abcb9; Psmd11; Abca7; Eif2s3x; Ubb; Ubc; Abca2; Abcb6; Psma6; Eif2s1; Abcc10; Psma1; Psmc6; Psmd12","skin","RR-6","GLDS-243"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.0073107238366346,0.0203460543682898,0.407017918923954,-0.559640398609511,-1.83215541400907,17,"reactome","Abca5; Abcg8; Abcd3; Abca9; Abca6; Pex3","skin","RR-6","GLDS-243"
"REACTOME_ABC_TRANSPORTER_DISORDERS",4.1717719262834e-05,0.000191592488466349,0.557332238758646,0.495530453144399,2.02357685290216,64,"reactome","Vcp; Psmd13; Psmd2; Psmd7; Derl1; Psmc4; Psma5; Psmc5; Psmd3; Psmc1; Psmb1; Sem1; Psmc2; Psma7; Psmb2; Rnf185; Psmc3; Psmb5; Uba52; Psmd8; Psmb3; Psmd14; Psma2; Psmd1; Psmb6; Adrm1; Os9; Abcb11; Psmb7; Rps27a; Psmb4; Psmd11; Ubb; Ubc; Abcb6; Psma6; Psma1; Psmc6; Psmd12","skin","RR-6","GLDS-243"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0838815789473684,0.156019736842105,0.197822021315103,0.440779318183252,1.39615656825855,20,"reactome","Anapc15; Ube2c; Skp2; Ube2s; Fzr1; Anapc7; Anapc11","skin","RR-6","GLDS-243"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.00138549472664515,0.0046432796244324,0.45505986738723,0.642494973183828,1.91238641694165,17,"reactome","Tfdp1; E2f2; Cdkn1a; Ccne1; Cdk4; E2f3; Ccnd1; Cdk2; Ccne2; E2f1","skin","RR-6","GLDS-243"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",1.57545234189205e-07,1.04035787784114e-06,0.690132458796796,0.744503090871725,2.41990847956162,23,"reactome","Polr2g; Ncbp2; Polr2b; Gtf2f1; Ctdp1; Ncbp1; Polr2f; Polr2h; Polr2i; Polr2e; Nelfcd; Polr2l; Polr2j; Polr2d; Supt5; Nelfe; Gtf2f2","skin","RR-6","GLDS-243"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.130023640661939,0.220862074549046,0.190023305279108,-0.409833442084167,-1.34171614776582,17,"reactome","Ppfia2; Unc13b; Chat; Ppfia4; Vamp2; Snap25; Stxbp1; Slc18a3","skin","RR-6","GLDS-243"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.0567260940032415,0.114477976324806,0.241339976815091,0.425474572503563,1.50317344002015,32,"reactome","Ncstn; Uba52; Numb; Notch1; Aph1a; Jag1; Rps27a; Psen2; Cntn1; Ubb; Jag2; Arrb2; Ubc; Psenen; Adam10; Neurl1b; Dtx2; Mib1; Mib2","skin","RR-6","GLDS-243"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",4.10001614610294e-14,7.38002906298529e-13,0.965327754226083,0.719793321457736,2.79471114208307,51,"reactome","H3c15; H3c7; H2ac7; H2ac19; H4c6; H2bc7; H4c1; H2bc4; H4c3; H3c3; H2bc8; H4c8; H3c2; H3c4; H4c2; H4c18; H2bc14; H4c4; H3c1; H3c11; H3f3a; H4c11; H2ac20; H2ax; H3c8; H4c12; Ncoa2; H4c14; H3c10; H2ac4","skin","RR-6","GLDS-243"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.0646766169154229,0.127750627394003,0.227987202850442,0.433460936758767,1.40890724200095,23,"reactome","Map2k3; Map3k7; Uba52; Ube2v1; Rps27a; Ube2n; Mapkapk2; Ubb; Mapkapk3; Ubc; Tab1; Mapk11","skin","RR-6","GLDS-243"
